gene_id	WF_38	WF_30	WF_60	WF_4	WF_6	WF_28	WF_23	WF_15	WF_11	WF_36	WF_13	WF_40	WF_34
1410644.3.peg.1559	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1563	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1566	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1578	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1579	0	0	0	1	0	0	1	1	0	1	1	1	1
1410644.3.peg.1581	1	1	0	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1582	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1583	0	0	1	0	0	0	0	0	0	0	1	0	1
1410644.3.peg.1594	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1596	1	1	0	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1597	0	0	0	0	0	0	0	0	1	0	0	0	0
1410644.3.peg.1598	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.160	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1600	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1603	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1604	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1605	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1606	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1607	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1608	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1609	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.161	1	0	1	1	1	0	0	1	1	0	0	1	0
1410644.3.peg.1610	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1611	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1612	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1613	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1614	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1615	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1616	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1617	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1618	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1619	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.162	1	1	0	0	0	1	1	1	1	1	1	1	1
1410644.3.peg.1620	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1621	1	1	1	0	0	1	1	1	1	1	1	1	1
1410644.3.peg.1622	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1623	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1624	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1625	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1626	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1627	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1628	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1629	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.163	1	0	0	0	0	0	1	1	1	1	1	1	1
1410644.3.peg.1630	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1631	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1632	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1637	1	1	1	1	1	1	1	1	0	1	1	1	1
1410644.3.peg.1638	0	0	0	1	1	0	0	0	0	0	0	0	0
1410644.3.peg.1639	0	0	0	1	1	0	0	0	0	0	0	0	0
1410644.3.peg.164	1	1	0	0	0	1	1	1	1	1	1	1	1
1410644.3.peg.1640	0	0	0	1	1	0	0	0	0	0	0	0	0
1410644.3.peg.1641	0	0	0	1	1	0	0	0	0	0	0	0	0
1410644.3.peg.1642	0	0	0	1	1	0	0	0	0	0	0	0	0
1410644.3.peg.1644	0	0	0	1	1	0	0	0	0	0	0	0	0
1410644.3.peg.1645	0	1	0	0	0	1	0	0	0	0	0	0	0
1410644.3.peg.1646	1	0	0	0	0	0	1	0	0	1	0	1	0
1410644.3.peg.1649	1	1	1	1	1	0	1	1	0	1	1	1	1
1410644.3.peg.165	1	0	0	0	0	1	1	1	1	1	1	1	1
1410644.3.peg.1656	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1657	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.166	1	0	0	0	0	1	1	1	1	1	1	1	1
1410644.3.peg.1661	1	0	0	1	1	1	1	1	1	1	1	1	0
1410644.3.peg.1663	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1664	0	1	0	1	1	1	0	0	1	1	1	1	1
1410644.3.peg.1665	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1667	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.167	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1670	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1671	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1672	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1677	1	1	0	1	1	1	1	0	0	1	0	1	1
1410644.3.peg.1679	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1685	0	0	0	1	1	0	0	0	0	0	0	0	0
1410644.3.peg.1686	0	1	1	1	1	1	0	1	1	0	1	0	1
1410644.3.peg.169	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.1690	0	1	1	1	1	1	0	1	1	0	1	0	1
1410644.3.peg.1691	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1692	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1693	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1694	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1695	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.1696	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.17	0	1	1	0	0	1	0	0	0	0	0	0	0
1410644.3.peg.173	1	1	0	1	1	1	1	0	0	1	0	1	1
1410644.3.peg.175	0	1	1	0	0	0	0	1	0	0	1	0	0
1410644.3.peg.179	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.18	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.183	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.185	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.189	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.19	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.195	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.20	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.211	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.213	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.215	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.218	0	0	0	0	0	0	0	1	1	0	1	0	0
1410644.3.peg.219	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.22	0	1	0	1	1	0	1	1	1	1	1	1	1
1410644.3.peg.223	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.225	1	1	1	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.226	0	1	1	1	1	1	0	1	1	1	1	0	1
1410644.3.peg.227	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.228	0	0	1	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.229	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.230	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.231	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.237	1	1	0	1	1	1	1	1	1	1	1	1	1
1410644.3.peg.25	0	0	1	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.255	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.267	0	0	1	0	0	0	0	0	0	0	1	0	0
1410644.3.peg.268	0	0	0	0	0	0	0	0	0	0	0	0	0
1410644.3.peg.276	0	1	1	1	1	1	0	0	0	0	1	0	0
