gene_id	WF_12	WF_77	WF_38	WF_73	WF_81	WF_30	WF_51	WF_62	WF_16	WF_3	WF_4	WF_82	WF_69	WF_6	WF_2	WF_87	WF_43	WF_88	WF_66	WF_55	WF_79	WF_57	WF_36	WF_18	WF_14	WF_40	WF_72	WF_34	WF_68	WF_53	WF_10
1121115.4.peg.1076	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1
1121115.4.peg.1078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1080	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1
1121115.4.peg.1082	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1
1121115.4.peg.1083	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1
1121115.4.peg.1088	1	0	0	0	0	1	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1
1121115.4.peg.1089	1	0	0	0	0	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	1	1	0	0	0	0	1	1
1121115.4.peg.1090	1	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1
1121115.4.peg.1092	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	1	1	1
1121115.4.peg.1094	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1
1121115.4.peg.1096	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0
1121115.4.peg.1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
1121115.4.peg.1098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.110	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1121115.4.peg.1100	1	0	1	1	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	1
1121115.4.peg.1101	0	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	0	1	0	1	1	0	1	1	1	0	0	0
1121115.4.peg.1102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1121115.4.peg.1103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
