kingdom|phylum|class|order|family|genus|species	WF_33	WF_72	WF_34	WF_12	WF_68	WF_46	WF_204	WF_73	WF_25	WF_65	WF_97	WF_202	WF_54	WF_74	WF_80	WF_18	WF_57	WF_6	WF_76	WF_51	WF_81	WF_55	WF_85	WF_2	WF_28	WF_50	WF_36	WF_87	WF_38	WF_48	WF_94	WF_21	WF_82	WF_11	WF_201	WF_47	WF_42	WF_15	WF_8	WF_27	WF_88	WF_43	WF_3	WF_63	WF_29	WF_70	WF_19	WF_203	WF_40	WF_60	WF_64	WF_1	WF_62	WF_52	WF_93	WF_84	WF_53	WF_22	WF_26	WF_59	WF_86	WF_67	WF_66	WF_61	WF_39	WF_79	WF_44	WF_20	WF_32	WF_5	WF_78	WF_16	WF_30	WF_49	WF_10	WF_56	WF_24	WF_75	WF_69	WF_14	WF_17	WF_77	WF_31	WF_45	WF_58	WF_41	WF_37	WF_4	WF_83	WF_71	WF_35	WF_9	WF_23	WF_13
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Faecalibacterium|s_Faecalibacterium_prausnitzii_718252.3	7	14	10	316	51	183	404	20	33	26	0	58	10	16	13	56	241	99	29	327	29	317	63	301	182	268	21	25	49	101	0	0	38	15	17	1	24	71	18	5	2	380	68	14	14	0	130	70	193	21	17	0	77	17	0	18	336	8	3	80	79	12	8	0	11	14	4	6	144	182	18	4	146	334	83	2	13	39	27	195	77	9	10	0	46	375	28	55	38	17	17	58	147	23
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Faecalibacterium|s_Faecalibacterium_prausnitzii_748224.3	22	40	0	268	1	39	36	26	16	19	0	155	217	23	24	156	111	141	112	140	6	84	36	1012	261	50	5	7	5	20	0	0	9	31	2	0	225	168	9	12	12	143	25	16	22	18	39	33	12	8	14	0	0	196	0	23	227	66	18	9	35	1	4	0	232	32	109	11	166	31	47	66	226	160	91	150	135	99	9	194	28	87	11	0	91	37	202	191	24	33	123	42	10	49
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcus|s_Ruminococcus_bicirculans_1160721.7	27	18	0	34	0	161	0	0	0	7	0	84	16	0	30	0	9	0	1	26	7	32	27	6	20	305	0	39	0	173	0	0	51	491	31	1	424	266	0	4	52	4	128	20	5	165	246	0	0	1	19	0	0	189	0	35	12	182	2	0	15	0	0	0	101	18	112	5	35	122	4	0	140	84	17	87	197	0	3	35	184	3	6	0	37	204	111	0	116	183	23	204	1	263
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Blautia|s_[Ruminococcus]_obeum_411459.7	7	65	11	20	0	172	6	2	224	65	0	9	6	3	3	365	97	251	48	88	8	62	0	49	112	226	8	10	13	352	0	0	4	143	16	0	26	84	15	16	6	78	170	42	16	53	120	22	4	8	19	0	0	10	0	0	146	12	7	5	7	0	0	0	10	7	13	10	205	90	32	202	265	22	68	3	17	47	3	37	119	104	4	0	0	342	8	325	0	54	13	59	7	99
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Faecalibacterium|s_Faecalibacterium_prausnitzii_411485.10	28	113	106	14	1	174	33	8	145	139	0	16	0	9	1	169	30	376	46	24	1	24	2	47	166	115	113	0	2	75	0	0	0	20	5	0	0	91	13	18	2	39	27	170	26	83	138	32	87	16	180	0	0	1	0	0	14	12	17	39	5	0	0	0	56	12	0	28	144	15	10	68	147	115	7	0	19	53	3	1	75	2	23	0	35	236	40	267	2	215	46	106	102	19
d_Bacteria|p_Actinobacteria|c_Coriobacteridae|o_Coriobacterineae|f_Coriobacteriaceae|g_Collinsella|s_Collinsella_sp._4_8_47FAA_742722.3	21	0	405	154	0	3	29	11	44	0	0	63	57	4	3	73	0	98	22	0	0	0	0	148	42	3	301	0	393	23	0	0	0	99	97	0	51	72	25	11	1	0	38	0	32	0	35	143	146	16	0	0	0	72	0	0	0	11	18	8	0	0	0	0	14	28	29	27	43	33	26	179	72	37	275	42	18	26	3	116	70	31	4	0	26	33	8	145	0	0	17	15	52	48
d_Bacteria|p_Actinobacteria|c_Coriobacteridae|o_Coriobacterineae|f_Coriobacteriaceae|g_Collinsella|s_Collinsella_aerofaciens_411903.6	16	0	439	92	1	10	36	21	48	0	0	53	15	11	3	90	0	82	42	0	0	0	0	93	38	9	302	2	392	23	0	0	0	89	81	0	31	104	20	5	1	0	26	0	24	0	26	143	168	19	0	0	0	36	0	0	1	16	11	7	1	0	0	0	15	22	18	13	45	18	32	124	65	24	119	23	13	32	1	73	48	40	6	0	31	22	10	98	0	0	16	10	43	60
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella|s_Prevotella_copri_537011.5	0	1	0	0	0	0	0	255	1	0	0	0	0	106	257	0	0	0	31	1	0	0	0	0	1494	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	30	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	11	0	0	0	0	21	0	0	616	0	326	0	327	0	0	0	0	58	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
d_Bacteria|p_Actinobacteria|c_Actinobacteridae|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_Bifidobacterium_pseudocatenulatum_1454376.3	0	0	365	0	0	0	100	17	0	0	0	89	0	8	2	195	0	461	0	0	20	0	0	0	0	0	334	80	177	0	0	0	29	0	389	0	0	0	2	2	36	0	53	0	1	0	14	100	100	115	0	0	0	0	0	0	0	8	2	31	0	0	0	0	2	13	0	0	0	17	0	175	0	6	0	2	0	0	4	0	12	0	2	0	75	0	1	351	0	0	0	0	77	0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Coprococcus|s_Coprococcus_sp._ART55/1_751585.3	1	2	0	360	0	0	0	86	0	0	0	0	0	32	92	0	34	0	0	48	2	22	0	504	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	19	0	0	0	0	3	0	0	0	0	0	0	0	0	0	95	134	0	0	1	0	0	0	61	27	1	0	219	0	0	0	331	0	474	0	121	0	0	304	2	0	0	0	0	0	94	0	0	0	124	0	0	0
d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_Bacteroides_uniformis_1235787.3	2	10	0	30	174	0	13	4	0	16	0	0	0	6	2	21	120	5	4	327	0	320	418	180	1	0	5	5	0	0	0	0	8	4	0	0	9	7	4	2	12	123	1	27	6	9	13	1	24	0	40	0	81	1	0	69	108	1	4	4	484	1	0	0	0	22	1	0	16	3	3	1	2	3	94	6	0	4	37	33	4	9	7	0	1	0	0	1	80	1	1	55	210	9
d_Bacteria|p_|c_|o_|f_|g_|s_bacterium_LF-3_1504823.3	11	6	36	22	0	37	46	16	51	4	0	14	32	29	31	223	17	84	50	17	70	28	1	58	30	92	21	48	28	104	0	0	76	0	18	0	20	0	22	15	67	17	45	0	11	2	18	11	88	46	0	0	0	41	0	41	30	6	18	39	5	0	1	0	16	9	18	26	262	29	37	273	104	34	25	24	25	159	2	26	17	35	1	0	24	63	14	127	20	2	6	0	9	0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Coprococcus|s_Coprococcus_comes_470146.3	28	39	187	82	0	0	19	16	33	10	0	10	49	34	9	164	7	68	28	6	0	10	14	164	67	0	138	0	60	1	0	0	0	0	15	0	48	1	33	29	0	5	36	7	23	33	29	29	75	13	9	0	0	65	0	59	6	17	49	33	11	0	0	0	26	21	29	36	77	44	33	134	119	21	107	53	15	33	3	107	42	51	13	0	20	0	36	83	44	54	25	0	38	0
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Blautia|s_[Ruminococcus]_torques_657313.3	3	104	273	11	2	0	20	22	0	31	0	99	0	23	20	0	11	0	37	6	24	2	0	7	93	0	306	65	166	0	0	0	34	18	4	0	0	5	35	33	56	3	17	25	8	91	22	96	95	3	23	0	0	1	0	0	7	16	44	18	5	1	2	0	14	15	0	39	219	9	27	0	233	61	35	0	26	101	5	11	27	51	3	0	111	0	6	0	0	56	8	12	30	3
d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Dorea|s_Dorea_longicatena_1280698.3	4	60	145	74	0	46	6	20	0	11	0	35	0	15	31	198	4	69	27	1	17	0	0	189	50	41	123	29	183	50	0	0	25	45	5	0	0	43	0	3	20	2	1	11	0	28	1	8	59	11	8	0	0	0	0	2	3	8	0	22	3	0	0	0	2	25	0	1	69	1	38	216	118	20	131	0	6	76	2	88	2	81	1	0	47	62	5	47	0	26	5	10	22	35
