# Pathway	WF_34_qc_merged	WF_31_qc_merged	WF_22_qc_merged	WF_15_qc_merged	WF_17_qc_merged	WF_40_qc_merged	WF_33_qc_merged	WF_23_qc_merged	WF_10_qc_merged	WF_1_qc_merged	WF_25_qc_merged	WF_203_qc_merged	WF_3_qc_merged	WF_32_qc_merged	WF_13_qc_merged	WF_39_qc_merged	WF_2_qc_merged	WF_30_qc_merged	WF_36_qc_merged	WF_29_qc_merged	WF_20_qc_merged	WF_27_qc_merged	WF_37_qc_merged	WF_28_qc_merged	WF_35_qc_merged	WF_19_qc_merged	WF_18_qc_merged	WF_201_qc_merged	WF_38_qc_merged	WF_202_qc_merged	WF_11_qc_merged	WF_26_qc_merged	WF_204_qc_merged	WF_14_qc_merged	WF_24_qc_merged	WF_21_qc_merged	WF_16_qc_merged	WF_12_qc_merged
PWY-5284	264.783	1085.41	748.415	517.209	815.069	545.596	818.049	823.714	1051.12	0	963.28	550.675	819.261	782.98	655.226	991.231	952.4	711.542	382.391	902.695	875.435	967.59	1003.23	1007.48	754.523	870.689	724.359	520.889	678.539	949.504	571.965	929.322	911.372	868.067	830.248	0	633.307	952.13
PWY-5286	29.4592	51.2173	252.495	27.8977	244.18	18.3433	25.4975	31.566	309.759	0	34.2953	40.6105	258.715	114.987	35.7825	81.5864	199.236	129.956	22.9072	61.5943	33.8675	32.6994	76.2193	71.2116	221.114	166.676	51.0575	17.2367	38.5177	323.091	27.9328	33.1161	42.4143	326.351	81.9655	0	163.165	350.745
PWY-5287	640.665	571.861	685.266	694.54	682.874	641.637	670.015	628.713	594.135	2529.92	607.76	638.071	659.95	718.414	649.822	621.367	625.983	717.897	652.908	641.745	686.624	675.166	624.399	643.338	667.281	637.607	671.723	558.182	659.829	668.917	697.368	652.691	599.534	628.004	640.752	0	710.727	607.416
PWY-5290	823.712	735.25	881.056	894.291	879.626	825.671	861.783	808.61	764.192	3252.75	781.406	824.167	848.833	923.675	835.485	798.901	805.155	923.01	840.085	825.1	882.802	868.345	802.799	827.149	857.932	819.781	863.644	717.819	848.409	860.037	896.617	839.175	771.724	807.433	823.823	0	913.792	781.129
PWY-5298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.29408	9.10197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.14351	0	0	0	0
PWY-5301	0.87054	0.0961927	0.392368	0.153443	0.511109	0.428327	0.144008	0.326429	0.476709	0	0.268297	0.573568	0.838352	0.34636	0.515617	0.167502	0.300129	0.185497	0.505257	0.265833	0.716588	0.193441	0.225689	0.167854	0.501511	0.594077	0.588594	0.256894	0.501332	0.220826	0.396747	0.352197	0.133329	0.297774	0.249295	0	0.549759	0.355049
PWY-5305	5765.99	5146.75	6167.39	6246.36	6140.1	5772.38	6030.13	5657.58	5346.2	22769.3	5469.84	5729.37	5938.4	6465.73	5848.4	5592.31	5633.24	6461.07	5873.96	5775.7	6179.62	6076.5	5619.59	5790.04	6005.53	5738.47	6045.51	5023.64	5938.46	6020.26	6276.32	5874.22	5392.27	5652.03	5766.76	0	6396.55	5466.16
PWY-5307	0	1068.51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	886.064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5310	158.87	651.449	449.049	310.325	489.041	327.358	490.829	494.228	630.672	0	577.968	330.405	491.556	469.788	393.136	594.739	571.531	426.925	229.434	541.617	525.261	580.554	601.936	604.487	452.714	522.413	434.616	312.534	407.123	569.702	343.179	557.593	546.823	520.84	498.149	0	379.984	571.278
PWY-5312	205.952	826.864	624.435	394.881	672.347	413.783	619.911	625.677	865.779	0	731.034	423.159	679.124	615.982	500.365	763.82	764.109	566.145	292.52	692.42	665.043	733.868	771.474	773.412	621.171	694.686	556.034	394.976	518.533	792.901	435.957	705.27	694.132	732.638	643.178	0	515.771	801.784
