variable	Eubacterium	Blautia	Bifidobacterium	Faecalibacterium	Ruminococcus	Bacteroides	Var.8	Dorea	Coprococcus	Collinsella	Prevotella	Other
WF_28	0.198218262806236	0.0679287305122494	0.0879732739420935	0.142538975501114	0.0267260579064588	0.00779510022271715	0.0233853006681514	0.0423162583518931	0.0423162583518931	0.0144766146993318	0.261692650334076	0.0846325167037862
WF_50	0.140468227424749	0.108138238573021	0.0178372352285396	0.0903010033444816	0.107023411371237	0.187290969899666	0.193979933110368	0.0345596432552954	0.00780379041248606	0.00222965440356745	0	0.110367892976589
WF_36	0.0291479820627803	0.0672645739910314	0.766816143497758	0.0201793721973094	0.00112107623318386	0.00896860986547085	0.00672645739910314	0.0179372197309417	0.0112107623318386	0.0594170403587444	0	0.0112107623318386
WF_87	0.184151785714286	0.276785714285714	0.129464285714286	0.0691964285714286	0.0513392857142857	0.0446428571428571	0.0993303571428571	0.0546875	0.0100446428571429	0.00111607142857143	0	0.0792410714285714
WF_38	0.051685393258427	0.0820224719101124	0.651685393258427	0.0112359550561798	0	0	0.0224719101123595	0.0247191011235955	0.00674157303370787	0.0876404494382022	0	0.0617977528089888
WF_48	0.155056179775281	0.169662921348315	0.050561797752809	0.0539325842696629	0.0876404494382022	0.152808988764045	0.179775280898876	0.0393258426966292	0.0123595505617978	0.00898876404494382	0	0.0898876404494382
WF_82	0.166666666666667	0.313333333333333	0.101111111111111	0.0322222222222222	0.0388888888888889	0.0522222222222222	0.147777777777778	0.0422222222222222	0.00444444444444444	0	0.00111111111111111	0.1
WF_11	0.169282511210762	0.0941704035874439	0.327354260089686	0.0201793721973094	0.145739910313901	0.0112107623318386	0.0190582959641256	0.0224215246636771	0	0.054932735426009	0	0.135650224215247
WF_201	0.10789766407119	0.053392658509455	0.577308120133482	0.0400444938820912	0.0723025583982202	0.00333704115684093	0.03559510567297	0.00778642936596218	0.00444938820912125	0.0711902113459399	0	0.0266963292547275
WF_42	0.304347826086957	0.1438127090301	0.00891861761426979	0.119286510590858	0.26644370122631	0.00557413600891862	0.0434782608695652	0.0245261984392419	0.0178372352285396	0.0301003344481605	0	0.0356744704570792
WF_15	0.182326621923937	0.0738255033557047	0.332214765100671	0.0917225950782998	0.0727069351230425	0.0201342281879195	0.0313199105145414	0.0167785234899329	0	0.0469798657718121	0	0.131991051454139
WF_8	0.169811320754717	0.183129855715871	0.183129855715871	0.0577136514983352	0.048834628190899	0.0355160932297447	0.0776914539400666	0.0344062153163152	0.0532741398446171	0.0344062153163152	0	0.122086570477247
WF_27	0.104972375690608	0.220994475138122	0.139226519337017	0.101657458563536	0.0187845303867403	0.0287292817679558	0.0353591160220995	0.0640883977900552	0.0850828729281768	0.0176795580110497	0	0.183425414364641
WF_88	0.1640625	0.268973214285714	0.0669642857142857	0.03125	0.0345982142857143	0.109375	0.142857142857143	0.0401785714285714	0.00892857142857143	0.00223214285714286	0.0178571428571429	0.112723214285714
WF_43	0.303030303030303	0.154882154882155	0.0808080808080808	0.101010101010101	0.0673400673400673	0.127946127946128	0.063973063973064	0.00224466891133558	0.0101010101010101	0	0	0.0886644219977553
WF_3	0.169453734671126	0.1917502787068	0.102564102564103	0.0613154960981048	0.238573021181717	0.00111482720178372	0.0579710144927536	0.0635451505016722	0.0144927536231884	0.0245261984392419	0	0.0746934225195095
WF_63	0.340378197997775	0.132369299221357	0.0923248053392658	0.159065628476085	0.0756395995550612	0.0511679644048943	0.0667408231368187	0.0411568409343715	0.00667408231368187	0	0	0.0344827586206897
WF_29	0.145394006659267	0.107658157602664	0.283018867924528	0.0754716981132076	0.0355160932297447	0.00998890122086571	0.0788013318534961	0.0221975582685905	0.0321864594894562	0.0355160932297447	0.00332963374028857	0.170921198668147
WF_70	0.279017857142857	0.243303571428571	0.0345982142857143	0.0625	0.2109375	0.0100446428571429	0.0357142857142857	0.0636160714285714	0.0212053571428571	0	0	0.0390625
WF_19	0.214365881032548	0.143658810325477	0.0897867564534231	0.131313131313131	0.138047138047138	0.0628507295173962	0.0325476992143659	0.063973063973064	0.0101010101010101	0.0235690235690236	0	0.0897867564534231
WF_203	0.208053691275168	0.187919463087248	0.185682326621924	0.140939597315436	0	0.0100671140939597	0.0178970917225951	0.0335570469798658	0.0134228187919463	0.116331096196868	0	0.0861297539149888
WF_40	0.0770949720670391	0.0547486033519553	0.608938547486033	0.0849162011173184	0	0.0189944134078212	0.0525139664804469	0.0100558659217877	0.00893854748603352	0.0301675977653631	0	0.0536312849162011
WF_60	0.28173719376392	0.10022271714922	0.361915367483296	0.10913140311804	0.00334075723830735	0.0089086859688196	0.0846325167037862	0.0178173719376392	0.00556792873051225	0.0144766146993318	0	0.0122494432071269
WF_64	0.314507198228128	0.12624584717608	0.062015503875969	0.19047619047619	0.0664451827242525	0.0996677740863787	0.0398671096345515	0.0321151716500554	0.008859357696567	0	0	0.0598006644518272
WF_62	0.00888888888888889	0.278888888888889	0.0766666666666667	0.194444444444444	0.0988888888888889	0.0611111111111111	0.0266666666666667	0	0.00444444444444444	0	0	0.25
WF_52	0.212765957446809	0.172452407614782	0.00111982082866741	0.110862262038074	0.272116461366181	0.00111982082866741	0.0727883538633819	0.0425531914893617	0.0235162374020157	0.0414333706606943	0	0.0492721164613662
WF_84	0.137777777777778	0.276666666666667	0	0.0388888888888889	0.0333333333333333	0.186666666666667	0.0955555555555556	0.00333333333333333	0.0866666666666667	0	0	0.141111111111111
WF_53	0.251670378619154	0.152561247216036	0.0601336302895323	0.112472160356347	0.102449888641425	0.126948775055679	0.0623608017817372	0.0089086859688196	0.0244988864142539	0	0	0.0979955456570156
WF_22	0.172222222222222	0.105555555555556	0.192222222222222	0.0722222222222222	0.146666666666667	0.00666666666666667	0.0711111111111111	0.0255555555555556	0.0822222222222222	0.0144444444444444	0	0.111111111111111
WF_26	0.17146017699115	0.20353982300885	0.173672566371681	0.0553097345132743	0.0398230088495575	0.0243362831858407	0.0575221238938053	0.043141592920354	0.0785398230088496	0.0221238938053097	0.00110619469026549	0.129424778761062
WF_59	0.221975582685905	0.178690344062153	0.100998890122087	0.217536071032186	0.00221975582685905	0.114317425083241	0.0477247502774695	0.0288568257491676	0.0177580466148724	0.00776914539400666	0	0.0621531631520533
WF_86	0.0566037735849057	0.0876803551609323	0.00776914539400666	0.0765815760266371	0.0110987791342952	0.530521642619312	0.0421753607103219	0.00221975582685905	0.02330743618202	0	0.00665926748057714	0.155382907880133
WF_67	0.0266370699223085	0.273029966703663	0.0876803551609323	0.197558268590455	0.235294117647059	0.00110987791342952	0.0122086570477248	0	0.0177580466148724	0	0	0.148723640399556
WF_66	0.0403135498320269	0.399776035834267	0.0347144456886898	0.127659574468085	0.223964165733483	0	0.0123180291153415	0	0.019036954087346	0	0	0.142217245240761
WF_39	0.21380846325167	0.120267260579065	0.11358574610245	0.180400890868597	0.108017817371938	0.00556792873051225	0.0746102449888641	0.0244988864142539	0.0412026726057906	0.0122494432071269	0	0.105790645879733
WF_79	0.155728587319244	0.211345939933259	0.0456062291434928	0.111234705228031	0.0489432703003337	0.10567296996663	0.0389321468298109	0.0300333704115684	0.0378197997775306	0.0278086763070078	0.0111234705228031	0.175750834260289
WF_44	0.44	0.186666666666667	0.00777777777777778	0.0733333333333333	0.131111111111111	0.01	0.0544444444444444	0.0288888888888889	0.0144444444444444	0.0244444444444444	0	0.0288888888888889
WF_20	0.182628062360802	0.158129175946548	0.170378619153675	0.0523385300668151	0.0378619153674833	0.0334075723830735	0.076837416481069	0.0345211581291759	0.0601336302895323	0.0300668151447661	0.00111358574610245	0.162583518930958
WF_32	0.256726457399103	0.137892376681614	0.0369955156950673	0.117713004484305	0.0269058295964126	0.0134529147982063	0.0840807174887892	0.0482062780269058	0.0515695067264574	0.0179372197309417	0.115470852017937	0.0930493273542601
