kingdom	phylum	class	order	family	genus	species	sample_id	WF_50	WF_51	WF_52	WF_53	WF_54	WF_55	WF_56	WF_57	WF_58	WF_59	WF_25	WF_24	WF_27	WF_26	WF_21	WF_20	WF_23	WF_22	WF_29	WF_28	WF_36	WF_37	WF_34	WF_35	WF_32	WF_33	WF_30	WF_31	WF_38	WF_39	WF_89	WF_88	WF_83	WF_82	WF_81	WF_80	WF_87	WF_86	WF_85	WF_84	WF_94	WF_95	WF_96	WF_97	WF_90	WF_91	WF_92	WF_93	WF_204	WF_202	WF_203	WF_201	WF_18	WF_19	WF_14	WF_15	WF_16	WF_17	WF_10	WF_11	WF_12	WF_13	WF_69	WF_68	WF_61	WF_60	WF_63	WF_62	WF_65	WF_64	WF_67	WF_66	WF_6	WF_7	WF_4	WF_5	WF_2	WF_3	WF_1	WF_8	WF_9	WF_78	WF_79	WF_72	WF_73	WF_70	WF_71	WF_76	WF_77	WF_74	WF_75	WF_47	WF_46	WF_45	WF_44	WF_43	WF_42	WF_41	WF_40	WF_49	WF_48
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04285	OTU-13512	138	0	0	0	0	0	0	0	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	491	0	909	0	150	0	2442	0	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2608	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	568	0	0	220
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04287	OTU-05088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115	0	0	179	0	0	0	133	158	271	0	0	0	0	0	0	0	274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	545	0	0	0	1060	0	792	0	0	0	0	0	0	0	126	148	0	0	0	0	0	0	2803	0	0	0	0	0	1122	0	163	128	104	78	145	178	0	0	0	0	76	0	0	0	0	351	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04288	OTU-12893	69	0	271	0	223	0	346	0	0	0	268	0	0	0	0	0	0	0	0	0	312	173	93	0	0	104	0	0	0	86	0	0	422	0	0	0	77	130	0	163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2168	0	304	0	379	0	1618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	195	0	58	0	91	125	0	140	0	0	0	158	0	170	0	0	156	83
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04289	OTU-04274	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	0	1912	0	2466	0	0	0	0	0	2461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1229	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04293	OTU-12585	531	185	0	249	0	280	0	148	0	187	48	44	144	135	0	171	448	0	102	587	32	0	40	36	361	0	230	56	0	0	0	118	0	30	0	250	99	0	0	0	0	0	0	0	0	0	0	0	69	0	72	0	315	147	88	0	0	91	62	48	96	0	0	0	0	50	40	0	79	80	0	0	157	0	198	75	182	0	0	138	0	106	52	0	53	0	61	63	0	37	79	0	493	0	0	183	0	354	163	0	180
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04294	OTU-01721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1896	0	3758	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella sp.	OTU-11384	0	1911	0	1578	0	2262	0	1097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1322	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04297	OTU-12409	0	829	0	804	0	530	0	309	0	0	0	0	480	311	0	295	0	0	264	260	0	0	0	0	260	198	487	78	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	142	0	0	0	135	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	205	52	582	0	261	0	0	300	0	373	0	0	0	0	395	0	0	0	0	0	308	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04298	OTU-13555	56	559	0	336	0	166	35	166	117	41	0	121	90	48	0	29	72	220	0	0	223	159	184	81	0	57	0	0	0	521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	95	0	544	0	67	125	611	0	184	34	253	0	0	0	196	0	0	97	58	0	0	0	452	104	66	0	36	75	192	46	0	45	58	63	167	70	0	383	0	88	0	0	143	0	63	71	97	78
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04299	OTU-12038	397	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	374	0	0	178	39	0	0	0	236	0	362	0	83	0	0	129	1052	123	125	100	133	462	410	767	0	0	0	0	0	0	0	0	0	0	0	0	177	0	211	0	48	0	310	0	267	0	0	0	0	0	0	0	0	0	0	0	95	0	96	79	244	143	0	0	0	0	84	0	45	0	0	0	0	0	0	0	238	0	0	0	0	498	173	0	371
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04300	OTU-01769	0	0	0	0	0	0	0	0	0	0	0	545	172	232	0	259	0	575	995	0	0	364	0	875	0	2215	0	883	0	540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04302	OTU-13278	0	0	0	0	0	0	0	0	22	0	390	42	259	236	0	185	0	18	213	205	0	62	0	87	195	107	298	60	0	106	0	172	0	14	11	0	157	11	0	0	0	0	0	0	0	0	0	0	0	22	0	14	1032	51	55	0	229	20	55	0	101	0	0	0	0	0	0	0	0	0	0	0	836	0	794	14	46	0	0	156	0	140	0	0	0	0	0	369	94	0	438	0	0	0	0	0	0	0	0	629	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04304	OTU-01773	0	316	0	859	0	401	0	894	0	0	0	386	0	0	0	0	0	277	0	0	0	237	0	453	0	58	0	0	0	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	258	0	988	0	292	0	613	0	398	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	652	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04305	OTU-12345	0	0	0	0	0	0	0	0	0	68	0	0	141	121	0	141	78	0	76	156	104	0	198	0	180	75	274	0	0	0	0	73	0	97	70	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	130	46	416	0	709	0	231	44	523	0	783	0	0	0	0	80	0	0	0	0	0	0	592	0	944	0	492	0	0	99	0	46	0	49	0	65	47	185	81	0	79	0	0	0	0	0	0	0	76	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04308	OTU-12559	0	0	0	0	0	0	0	0	0	0	0	77	279	579	0	520	0	132	289	93	0	0	0	336	97	279	132	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1196	0	0	0	698	0	1177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	541	0	0	485	0	77	0	0	0	0	0	90	104	0	376	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella aerofaciens	OTU-13387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3012	0	0	0	1112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2167	0	1311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella HGM04315	OTU-12297	0	0	0	0	0	0	0	0	0	127	0	244	0	0	0	0	0	102	0	0	0	0	0	140	0	0	0	0	0	124	0	145	279	427	314	0	64	59	130	405	0	0	0	0	0	0	0	0	359	0	135	0	0	0	328	0	0	0	2366	0	219	0	0	0	0	321	0	0	97	85	0	0	0	0	0	0	662	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria	p__Actinobacteria	c__Coriobacteriia	o__Coriobacteriales	f__Coriobacteriaceae	g__Collinsella	Collinsella intestinalis	OTU-13346	0	0	0	0	0	0	0	0	0	0	0	0	1313	1366	0	1753	0	0	569	0	0	0	0	0	0	360	0	210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
